id,make,model,model_year,vin
1,Ford,Econoline E150,2001,JH4CL96846C423627
2,Toyota,Sequoia,2009,3C63DPAL1CG952192
3,Rolls-Royce,Phantom,2013,5XYZT3LB7DG991758
4,Buick,Regal,1991,3FA6P0D97DR286486
5,Ford,Crown Victoria,1993,JTDKN3DU8B0631428
6,Dodge,Caliber,2008,WVGEF9BP9ED668619
7,Toyota,Matrix,2009,WBABW53456P965176
8,Pontiac,Grand Prix,1990,3D73M4HL5AG541183
9,Nissan,Maxima,2004,JTEBU4BF3BK278321
10,Ford,Crown Victoria,2008,JTHFF2C24E2634018
11,Mercedes-Benz,E-Class,1992,19UYA42723A602058
12,Spyker,C8 Double 12 S,2006,JHMGE8G29AS033718
13,Chevrolet,Sportvan G20,1993,5UXFG8C58BL772077
14,Lexus,LS,2005,WBAVB735X7F531453
15,BMW,M Roadster,2008,1G4GD5ED2BF522149
16,Suzuki,Forenza,2007,YV4902DZ4C2600036
17,Volkswagen,Eurovan,1994,KM8JT3AFXFU416022
18,Mitsubishi,Tredia,1986,WBAFU9C56DD963328
19,Lincoln,Navigator,2003,1D4PT5GKXBW668871
20,Chevrolet,Aveo,2006,1GTCSBD90A8238025
21,Isuzu,Rodeo,1992,JHMFB4F29CS108421
22,Mazda,Protege,2003,3VWJX7AJXAM465610
23,Volkswagen,Scirocco,1987,1FTMF1EW2AK841680
24,Aston Martin,V8 Vantage,2007,4USFE835X7L129335
25,Audi,5000CS Quattro,1986,WAUBFAFL7EN815849
26,BMW,650,2006,1G6YX36D695474628
27,Saturn,S-Series,1995,JTEBU4BF6EK851149
28,Mitsubishi,Truck,1988,1G4PS5SK1C4290651
29,BMW,5 Series,2011,JM1NC2LFXE0717831
30,Mercedes-Benz,SL-Class,1998,WAULT68E24A373805
31,Pontiac,Vibe,2009,SAJWJ1CD9F8176519
32,Chrysler,Sebring,1996,WAUED64BX1N476394
33,Pontiac,Solstice,2008,WBA5A7C58FG453203
34,Kia,Rio,2003,WUAGNAFG2CN398266
35,Dodge,D350 Club,1992,5FPYK1F27AB272129
36,Ford,F350,2011,5BZAF0AA8EN604321
37,Eagle,Talon,1990,JA32X2HU8BU285595
38,Lotus,Exige,2008,1G4GG5G33CF827544
39,Subaru,SVX,1992,19XFA1E37AE469918
40,Corbin,Sparrow,2004,WBA6B2C5XFG190880
41,Volkswagen,GTI,1987,1GYS3JEF5CR645370
42,Volvo,S80,2010,3C3CFFFH3ET826609
43,Mercedes-Benz,S-Class,1998,WBAGN63544D614751
44,Dodge,Intrepid,1995,KMHHT6KD2DU851854
45,Cadillac,Seville,2004,1FTFW1E80AF853068
46,Volkswagen,Passat,2001,1G4PS5SKXC4171223
47,GMC,Sonoma,2002,WAUHF78PX8A435560
48,Bugatti,Veyron,2011,WBAAV53451J337824
49,Pontiac,Grand Am,1996,3GYFNFE39CS082657
50,Mercedes-Benz,400E,1993,3D73M4EL2BG728936
51,Subaru,Outback,2011,WBAYF8C51DD529671
52,Dodge,Ram,2007,5N1AR1NB9BC304077
53,Mazda,B-Series Plus,1995,WDDNG7DBXDA400773
54,Saab,9000,1999,1G6AS5SX7E0539649
55,Honda,Accord,1994,WVWBB7AJ3DW335498
56,Honda,Civic,2002,3C4PDDAG2ET284621
57,Pontiac,Firefly,1988,1G4GF5G36FF539802
58,Kia,Sportage,2000,WAUUFAFH6AN859890
59,Pontiac,Sunfire,2001,4T1BF1FK0EU893417
60,Jeep,Grand Cherokee,2001,1GYFK53269R441455
61,Buick,Century,1999,KNAFK4A69E5257549
62,Pontiac,Firefly,1991,3C3CFFDR9CT509720
63,Mercedes-Benz,CL-Class,2001,WAUKD98P57A726134
64,Hyundai,Santa Fe,2005,YV1940AS8B1858383
65,Chevrolet,Silverado 3500,2010,1G6DP577X60492352
66,Mercedes-Benz,E-Class,1988,WAUVT68EX2A901998
67,Acura,CL,2001,1GKUCEEF4AR350896
68,Plymouth,Grand Voyager,1997,1GYS3BEF9DR141377
69,Lexus,LS,2008,1G6YV36A595852014
70,Oldsmobile,Bravada,1992,WUAUUAFG4F7087839
71,Mazda,Miata MX-5,2004,1FA6P0G72E5100108
72,Jeep,Commander,2006,WBAUL73528V200673
73,Ford,F250,1994,WAUBF98EX7A062227
74,Toyota,Previa,1996,1FTEX1CM7BF725081
75,Nissan,Maxima,2006,WBAUL73518V473376
76,Daewoo,Nubira,2000,5GTMNGEE2A8076427
77,Dodge,Viper,2008,WAUJFAFH9DN774811
78,Isuzu,Trooper,2002,1FTSW3B58AE431348
79,Toyota,T100 Xtra,1996,19XFB4F20FE823466
80,Acura,NSX,2001,1G6DG577880373864
81,Buick,Coachbuilder,1995,WBA3B1G54FN166450
82,Toyota,Tacoma,2002,5GALRBED9AJ102176
83,GMC,Sonoma,2001,5FNRL5H23EB359840
84,Volkswagen,Jetta,1989,KL4CJCSB7DB482920
85,BMW,M5,2006,WBAYA8C53FG323476
86,Mercury,Grand Marquis,1996,WBA8Z5C52FG348103
87,Porsche,Cayenne,2006,3D73M4CL8BG524189
88,Nissan,Sentra,2005,3VW4A7AT5DM276870
89,Toyota,Corolla,1996,3C63DPHL5CG528598
90,Chevrolet,Tahoe,2000,YV1902FH7D2654756
91,Kia,Rio,2001,1G6DC67AX80821230
92,Buick,Park Avenue,1992,4JGDA0EB4FA097310
93,Chevrolet,Cavalier,1994,2C3CA6CT5BH308402
94,Chevrolet,Express 2500,2006,WBAPH7C5XAE346310
95,BMW,X3,2007,SALVP2BG4FH977071
96,Chevrolet,Silverado 1500,2003,WAUDG78E36A429896
97,Mercedes-Benz,E-Class,1997,5TDBCRFHXFS526420
98,Chevrolet,Corvette,1999,1C6RD6FP9CS673551
99,Volvo,XC70,2012,WP1AA2A29CL150197
100,Chevrolet,Corvette,1962,JH4DC538X3S563975
101,Maserati,Biturbo,1985,WBA3G7C55FK442081
102,Honda,Accord,1985,WBA4B3C57FG533657
103,Audi,4000s Quattro,1986,WBXPA93455W679883
104,Chevrolet,Metro,1998,3C63D2CL9CG100320
105,Ford,Lightning,1994,1GYS4AEF4BR196789
106,Pontiac,Grand Prix,1969,WP0AB2A82CU671472
107,Land Rover,Range Rover,2004,KMHFH4JGXFA077575
108,GMC,Vandura 2500,1993,SCFEBBAK3EG046076
109,Dodge,Caravan,1992,3D7JV1EP0BG104655
110,Mazda,Protege,2001,1G4GJ5G36CF312801
111,Chevrolet,TrailBlazer,2006,4T1BK3DB6BU842915
112,Chevrolet,Suburban 1500,2006,WBSDE93443C399612
113,Hummer,H1,1993,JTHBL5EF9F1678466
114,Audi,A6,2001,5N1AA0NE8EN946553
115,Mercedes-Benz,SL-Class,1985,1FMJK1F5XCE372095
116,Chevrolet,Astro,1995,WAUFFAFL0DN643163
117,Mercedes-Benz,SL-Class,1988,4T1BF3EK0AU302168
118,Ford,F-350 Super Duty,2006,JTDKDTB37E1223918
119,Buick,Skylark,1990,WBADN63491G262366
120,Acura,NSX,1992,KNDJN2A24E7934193
121,Pontiac,Grand Prix,1986,WAUGN74F89N004205
122,BMW,5 Series,2001,2B3CJ7DJXBH931286
123,GMC,Envoy,1999,5N1AN0NU0FN810673
124,Chevrolet,3500,1997,5N1AZ2MH4FN563176
125,Toyota,MR2,2003,WBA3F9C5XFK115920
126,Honda,Odyssey,2002,4A31K2DF6AE288097
127,Peugeot,207,2007,WAUKH78E36A826481
128,BMW,6 Series,2006,JTDKTUD34ED217370
129,Pontiac,Trans Sport,1991,JN8AS5MT5BW831949
130,Chevrolet,Tahoe,2005,WBAYE8C55ED065899
131,Volkswagen,Eurovan,1993,KNADM4A31D6330865
132,Ford,Probe,1990,WAUDFAFL1EN082173
133,Dodge,Caliber,2012,JTDKN3DU7F0299536
134,Honda,Prelude,1993,JTHBB1BAXA2731604
135,Infiniti,G,1993,1FTSW2A52AE329197
136,Volkswagen,Golf,1984,WAUDH78E26A062261
137,Mercedes-Benz,C-Class,2001,YV4952CT6E1895194
138,Nissan,350Z,2003,19UUA65526A151559
139,Mazda,Millenia,2000,JTEBU4BF7AK741981
140,Maserati,Quattroporte,1984,JN8AZ2KR1CT316189
141,Dodge,Grand Caravan,1996,1GYS4AEF9DR696868
142,Dodge,D250,1993,JTHHE5BCXF5963829
143,Volvo,XC90,2011,WBAPK5C52BF336615
144,Chrysler,300M,2001,WBAHN83588D276678
145,Honda,Civic,2008,1C4PJLAK2CW491668
146,Hyundai,Veracruz,2009,5UXZV8C50DL091756
147,Pontiac,Grand Am,1989,3GYFNJE38DS621533
148,Volkswagen,Jetta,2007,1FTNF2B56AE637386
149,Buick,Century,1992,1FTWX3A52AE490461
150,Mazda,B-Series,1996,WAUFGAFBXBN802711
151,Bentley,Continental,2008,WAUKG94F96N722308
152,Scion,tC,2011,WAUEF78E08A106934
153,Chevrolet,HHR,2007,1G6DP8E32C0609774
154,GMC,Acadia,2012,4F2CY0C71AK880386
155,Toyota,Matrix,2007,YV1672MW3B2234893
156,Mazda,RX-8,2007,WAUKF98E46A608406
157,Pontiac,Firebird,1969,KMHTC6AD7DU127086
158,Mercedes-Benz,S-Class,1992,WAUEKAFB7BN380097
159,Saturn,Aura,2008,3C3CFFDR2ET652804
160,Chrysler,Imperial,1926,WAUSFAFL9CA794295
161,Mercedes-Benz,M-Class,1998,1N6AD0CU0CC745449
162,Acura,RL,2008,WA1BY74L97D492684
163,Hummer,H2 SUT,2006,WA1CMBFP6EA492255
164,Infiniti,EX,2010,WAUDF78E85A221417
165,GMC,Canyon,2012,5TDDK3DCXFS771069
166,MINI,Cooper,2011,WP1AE2A28DL410434
167,Honda,Ridgeline,2011,JN1BY1AP4DM396583
168,Mitsubishi,Galant,1995,WA1LGAFE0DD373484
169,Volvo,V50,2007,4T1BF1FK4CU897323
170,Geo,Prizm,1994,1GTN1UEH4EZ062092
171,Chrysler,Town & Country,1993,1J4AA2D1XBL058919
172,Panoz,Esperante,2007,JHMZF1C44CS456259
173,Nissan,Xterra,2001,2HNYD18914H751118
174,Honda,Prelude,2001,1G6DP8ED9B0609830
175,Jeep,Commander,2010,WAUDF98E07A284848
176,Ford,F350,1992,4USCN53472L665905
177,Acura,MDX,2010,WBSDE93452B341948
178,Suzuki,Vitara,2002,WAUAH74F16N457400
179,Mitsubishi,Mighty Max Macro,1993,WA1LGBFEXBD491402
180,Buick,LeSabre,1995,WBA3V7C55EP421917
181,Dodge,Ram 3500,1998,WUAAU34239N783565
182,Mitsubishi,Truck,1991,2T2BK1BA0EC040232
183,BMW,Z4,2004,1FTSW2B53AE274676
184,Mitsubishi,3000GT,1995,JM1NC2JF4B0283078
185,Chevrolet,Aveo,2004,5GALVBED0AJ334841
186,MINI,Cooper Clubman,2012,WBA1J7C56EV131765
187,Ford,Econoline E350,1997,JHMFA3F26AS055428
188,Lamborghini,Diablo,1990,WAUDGAFLXEA633396
189,Mercury,Mystique,1995,2G61L5S35E9875655
190,Pontiac,Grand Prix,1993,WBA3N3C54FF031987
191,Mitsubishi,RVR,1995,JN1BY1AP1DM355490
192,Mercury,Grand Marquis,1988,1N6AA0EJ1FN776102
193,Toyota,Matrix,2012,JTHBW1GG0E1753592
194,GMC,Sonoma,2000,1FMJK1FT2FE307213
195,GMC,Jimmy,2001,5XYZT3LB9EG483437
196,Chevrolet,Camaro,1972,1FTSW3B57AE267154
197,Volkswagen,Touareg,2012,1FTEW1CF9FK749724
198,Chevrolet,S10,1996,WAUDH78E08A801422
199,Cadillac,Escalade EXT,2009,4T1BF3EK3AU580918
200,Hyundai,Genesis,2009,WBAUP9C54CV182489
201,Lamborghini,Countach,1987,JH4CL959X8C611257
202,Chevrolet,Suburban 1500,2000,KNAFT4A25A5844139
203,Volkswagen,GTI,1988,5UXFB53554L946459
204,Hummer,H1,1999,5N1AN0NU2EN892615
205,Mercedes-Benz,500SEL,1992,1GD02ZCG9DZ085070
206,Mazda,B-Series,1989,2C3CDXJG0CH341019
207,Mercury,Milan,2006,1G4CW54K744165171
208,Oldsmobile,Cutlass Supreme,1995,1C3BC8EG3BN914743
209,Plymouth,Colt Vista,1992,WAUKH78E48A183464
210,GMC,Envoy,1998,4T1BD1FK6EU873324
211,Mazda,MX-5,1997,WAURV78T59A947961
212,Porsche,Cayman,2006,1GKS1AE03ER993618
213,Volkswagen,Corrado,1990,WBA5A5C57FD174296
214,Land Rover,Defender 90,1995,1G6DK67V480485578
215,Saab,9-7X,2005,WBAEV53462K286265
216,Jeep,Cherokee,2000,19UUA65664A940609
217,Oldsmobile,Bravada,1996,2G4WE567051308399
218,GMC,Savana 2500,2012,WAUJC68E22A418066
219,Mercury,Sable,2004,3VW4T7AT8EM793267
220,Ford,LTD Crown Victoria,1985,WAUHF98P86A340732
221,Honda,Passport,1997,1HGCR2E38EA600110
222,Ford,Contour,1998,19UUA9F53DA760723
223,Volkswagen,Phaeton,2006,5YMGY0C55CL577583
224,Lotus,Esprit,2000,19XFB4F26DE205100
225,GMC,Suburban 1500,1996,19UYA42793A190558
226,GMC,Safari,1995,5GAKRCKD4DJ824391
227,Chevrolet,Silverado 3500,2005,SCFAD01A97G798050
228,Mercedes-Benz,S-Class,2012,1VWAP7A37EC511225
229,Nissan,Frontier,1998,SCBDR3ZA7AC390991
230,Pontiac,Firebird,1969,WBAGL63585D204719
231,Cadillac,SRX,2011,WBAXH5C5XDD618756
232,Ford,Focus,2000,1G6AF5S32D0619702
233,Mazda,Miata MX-5,2010,JH4DC54884S143938
234,Lincoln,Continental,1984,1GYFK46868R563810
235,Buick,Skylark,1996,SCBFT7ZA5DC940095
236,Volkswagen,Fox,1990,5YMKT6C50F0965967
237,Buick,Park Avenue,2003,5GAKVAKD8EJ780400
238,Dodge,Caliber,2011,KMHGH4JF7BU782855
239,Oldsmobile,Cutlass Supreme,1995,WAUDH98E48A672497
240,Volkswagen,rio,1996,KMHEC4A43BA374150
241,Buick,Regal,2012,WAUSH98E77A131093
242,Chevrolet,Express 3500,2004,WBAWB3C54AP928039
243,Dodge,Monaco,1992,2T1KE4EE4CC565531
244,Jaguar,XJ Series,1993,1G6DK8EV7A0584531
245,Jaguar,XJ Series,1994,WA1AV94L87D493860
246,Kia,Rio,2005,WP0AB2A98FS691539
247,Chevrolet,Uplander,2006,1G4PT5SV9F4393781
248,GMC,Terrain,2011,WDBWK5EA1AF009600
249,Toyota,Sequoia,2005,KMHGH4JH8DU105138
250,Saturn,L-Series,2000,JN1BY1AR2EM606701
251,Chrysler,Cirrus,1996,1GYEC63T83R812114
252,Saab,9000,1993,WBAVL1C54EV745139
253,Mitsubishi,GTO,1997,1G6DL1ED9B0493905
254,Plymouth,Grand Voyager,1996,WBAKF3C58CJ832343
255,BMW,M,2000,1FTNS2EWXAD789743
256,Maserati,Coupe,2006,1ZVBP8JS3B5192648
257,Plymouth,Neon,1995,SCBCP73W68C633651
258,Volkswagen,rio,1996,2C3CCARG3FH299342
259,Ford,Taurus,1988,WAUZL64B61N267755
260,Kia,Rondo,2008,5J6TF1H54FL759477
261,Dodge,Viper,1997,WVGAV3AX4EW034848
262,Toyota,Camry,1995,1YVHZ8BH5D5850901
263,Volkswagen,Touareg,2012,WAUFGAFC2EN493832
264,Dodge,D350 Club,1993,WVWDB7AJ7EW313448
265,Chevrolet,Cobalt SS,2009,1G6YX36D685111406
266,Toyota,Camry,1994,1G6DG5E56D0150363
267,GMC,Yukon XL 1500,2004,4T1BK3DB7AU026505
268,Lincoln,MKZ,2007,JHMZE2H52DS744518
269,Mazda,Mazdaspeed 3,2012,3VW4T7AT3EM079515
270,Acura,NSX,1999,1D4PU2GK6AW444068
271,Mitsubishi,Eclipse,2011,1G4GB5EGXAF706964
272,Lexus,ES,1998,19UUA65606A041442
273,Volkswagen,Eos,2008,WAURD68D72A275591
274,Toyota,Sequoia,2011,1G6DP8E30C0595065
275,Volvo,XC90,2012,2T1KE4EEXCC450299
276,Pontiac,Bonneville,1987,3VW517AT1EM769631
277,Isuzu,Hombre Space,1998,2HNYD2H46CH071191
278,Hyundai,Elantra,2008,1D7RW2BK9BS838508
279,BMW,M3,2009,WAUFEBFM9CA999960
280,Pontiac,6000,1989,1G6KF54915U586613
281,Acura,RL,2008,KM8JT3AB4DU825126
282,Mercedes-Benz,E-Class,1997,WA1MYBFE7AD337259
283,GMC,Savana,2009,WVWED7AJ3AW359609
284,Hyundai,Genesis,2012,1G6YX36D175525515
285,Toyota,Echo,2005,WAUHGAFC6DN636434
286,Mitsubishi,Mirage,1996,2FMDK3AK3DB426629
287,Chevrolet,Equinox,2005,4USBT53443L039490
288,Lincoln,LS,2002,WA1DGAFP0EA768838
289,MINI,Countryman,2011,WAUMV94E99N756775
290,Volkswagen,Rabbit,2006,JTDKN3DU8B0803652
291,Plymouth,Voyager,1992,KNAFU5A22B5174246
292,Chevrolet,Express 2500,2000,1N6AA0CA2CN186375
293,Dodge,Nitro,2010,SAJWA0FA3AH053724
294,Suzuki,Swift,2001,1N6AA0ED6FN018136
295,Subaru,Tribeca,2012,WA1VMAFP6EA430485
296,Nissan,Versa,2009,4JGBB9FB9BA193662
297,Plymouth,Colt,1993,1C4SDJET3CC756897
298,Dodge,Ram Wagon B250,1993,WBAYP9C56DD645838
299,Dodge,Nitro,2007,5XYKT3A17CG269636
300,Honda,CR-X,1988,SCBCU7ZAXAC146026
301,Ford,Aspire,1995,2B3CA7CW7AH382111
302,Hyundai,Sonata,1998,JN1BJ0HP4EM105635
303,Kia,Soul,2012,1G4HR54K544533246
304,Dodge,Caliber,2012,1FADP3E27EL163636
305,Ford,Ranger,1988,5TDBM5G16AS164909
306,BMW,7 Series,2004,1G6DL1ED2B0531961
307,Isuzu,Hombre,2000,3VW8S7AT4FM899169
308,Dodge,Ram 1500,2002,WUAAU34269N906307
309,Mazda,Tribute,2006,3FAHP0CG6CR620692
310,Mercury,Capri,1985,5J6TF3H51FL241371
311,Ram,1500,2011,1FMEU5BE8AU514438
312,Mitsubishi,Precis,1992,2FMHK6DT9AB859410
313,Mercury,Mountaineer,2008,5N1AN0NU0CN285996
314,GMC,Acadia,2008,JN8AS5MT0FW106913
315,Mercedes-Benz,300SL,1992,1FTEW1E84AK820478
316,Pontiac,Sunbird,1988,1GYFK43868R389452
317,Jaguar,XK,2008,1G6AB5RA1D0631033
318,Dodge,Avenger,2009,5N1AA0NC7EN029294
319,Pontiac,Vibe,2006,WBA1J9C59FV403688
320,Lincoln,Navigator,1998,2D4RN4DEXAR563427
321,Ford,Thunderbird,1994,1GYEK63NX5R440847
322,Saab,9-3,1999,WBAFU9C53DD964520
323,Maserati,Quattroporte,1984,SCFAB42322K268103
324,Dodge,Ram Van 3500,1995,WAUDG78E26A422552
325,Ford,Bronco II,1986,2HNYD2H48CH882300
326,Volvo,S80,2004,1N4AA5APXCC583101
327,Mitsubishi,Mighty Max Macro,1993,1G4GE5EV8AF508194
328,Honda,Pilot,2012,1G6AU5S80E0988514
329,Lexus,GS,2006,1G4GC5G3XFF066267
330,Ford,Contour,1995,WAUAC48H15K702768
331,Dodge,Ram Van B350,1992,WVWGD7AJ2EW412721
332,Saturn,Aura,2007,1G6AT5S38E0661320
